Velocity (m/s),Time (s),Model Speed (m/s),Acceleration (m/s2),Force (N),Force (N/kg),Power (W/kg),Ratio Force (%),F0 (N),F0 (N/kg),V0 (m/s),Pmax (W),Pmax (W/kg),FV Profile Slope,RFmax,Drf
12.15,6.2,12.123801859724132,0.1459342840489465,61.56237720770227,0.6549189064649178,7.940107056167865,0.05295546343463847,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
12.17,6.3,12.137934494951416,0.1368164548700533,60.81691043625248,0.6469884088963029,7.853102926176168,0.0523159846816512,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
12.19,6.4,12.151184137161058,0.1282682986057687,60.118137782759334,0.6395546572633972,7.77134640618647,0.051716502772743506,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
12.2,6.5,12.163605954880135,0.12025422265797835,59.46312754927116,0.6325864632901187,7.694532471852251,0.05115451416618019,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
12.225,6.6,12.17525166976092,0.11274085821876074,58.84913293798547,0.6260546057232497,7.62237238369351,0.050627672186036886,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
12.245,6.7,12.186169771938214,0.10569692133018355,58.27358028937803,0.6199317052061493,7.554593006649288,0.05013377718619417,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
12.265,6.8,12.196405721931333,0.09909308262494626,57.73405808056174,0.6141921072400185,7.490936131107224,0.04967076732979284,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
12.285,6.9,12.206002139931478,0.09290184520549805,57.22830663330745,0.6088117726947601,7.431157800327718,0.049236709946176564,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
12.3,7.0,12.214998983262621,0.08709743015314755,56.75420848468929,0.603768175369035,7.375027648259091,0.048829793429558135,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
12.32,7.1,12.223433712754805,0.08165566919044857,56.3097793765825,0.5990402061338563,7.322328250952167,0.04844831964575553,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
12.34,7.2,12.231341448722599,0.07655390404993492,55.89315982326413,0.5946080832262142,7.27285449411029,0.04809069681535287,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
12.35,7.3,12.238755117198195,0.071770892130196,55.502607219165114,0.5904532682889906,7.226412958738282,0.047755432843548065,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
12.34,7.4,12.245705587027976,0.06728671804646649,55.13648845141486,0.5865583877810092,7.1828213263680265,0.04744112906875569,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
